"r","K_observed","K_expected","L"
1069,NA,3590089.56240893,NA
1070,NA,3596809.42909495,NA
1071,NA,3603535.57896629,NA
1072,NA,3610268.01202293,NA
1073,NA,3617006.72826488,NA
1074,NA,3623751.72769214,NA
1075,NA,3630503.0103047,NA
1076,NA,3637260.57610258,NA
1077,NA,3644024.42508576,NA
1078,NA,3650794.55725424,NA
1079,NA,3657570.97260803,NA
1080,NA,3664353.67114713,NA
1081,NA,3671142.65287154,NA
1082,NA,3677937.91778126,NA
1083,NA,3684739.46587628,NA
1084,NA,3691547.29715661,NA
1085,NA,3698361.41162224,NA
1086,NA,3705181.80927319,NA
1087,NA,3712008.49010944,NA
1088,NA,3718841.454131,NA
1089,NA,3725680.70133786,NA
1090,NA,3732526.23173003,NA
1091,NA,3739378.04530751,NA
1092,NA,3746236.1420703,NA
1093,NA,3753100.52201839,NA
1094,NA,3759971.18515179,NA
1095,NA,3766848.1314705,NA
1096,NA,3773731.36097452,NA
1097,NA,3780620.87366384,NA
1098,NA,3787516.66953847,NA
1099,NA,3794418.74859841,NA
1100,NA,3801327.11084365,NA
1101,NA,3808241.7562742,NA
1102,NA,3815162.68489006,NA
1103,NA,3822089.89669122,NA
1104,NA,3829023.3916777,NA
1105,NA,3835963.16984948,NA
1106,NA,3842909.23120656,NA
1107,NA,3849861.57574896,NA
1108,NA,3856820.20347666,NA
1109,NA,3863785.11438967,NA
1110,NA,3870756.30848798,NA
1111,NA,3877733.78577161,NA
1112,NA,3884717.54624054,NA
1113,NA,3891707.58989477,NA
1114,NA,3898703.91673432,NA
1115,NA,3905706.52675917,NA
1116,NA,3912715.41996933,NA
1117,NA,3919730.5963648,NA
1118,NA,3926752.05594557,NA
1119,NA,3933779.79871165,NA
1120,NA,3940813.82466304,NA
1121,NA,3947854.13379973,NA
1122,NA,3954900.72612173,NA
1123,NA,3961953.60162904,NA
1124,NA,3969012.76032166,NA
1125,NA,3976078.20219958,NA
1126,NA,3983149.92726281,NA
1127,NA,3990227.93551135,NA
1128,NA,3997312.2269452,NA
1129,NA,4004402.80156435,NA
1130,NA,4011499.65936881,NA
1131,NA,4018602.80035857,NA
1132,NA,4025712.22453365,NA
1133,NA,4032827.93189403,NA
1134,NA,4039949.92243972,NA
1135,NA,4047078.19617071,NA
1136,NA,4054212.75308701,NA
1137,NA,4061353.59318862,NA
1138,NA,4068500.71647554,NA
1139,NA,4075654.12294776,NA
