"id","n_local","converged","note","neighbours_at_radius"
1612,507,FALSE,"not converged",507
1613,348,TRUE,"",348
1614,491,TRUE,"",491
1615,564,TRUE,"",564
1616,288,TRUE,"",288
1617,265,TRUE,"",265
1618,323,TRUE,"",323
1619,505,FALSE,"not converged",505
1620,631,TRUE,"",631
1621,243,TRUE,"",243
1622,648,TRUE,"",648
1623,636,TRUE,"",636
1624,496,TRUE,"",496
1625,594,TRUE,"",594
1626,330,TRUE,"",330
1627,614,TRUE,"",614
1628,216,TRUE,"",216
1629,414,TRUE,"",414
1630,239,TRUE,"",239
1631,304,TRUE,"",304
1632,539,TRUE,"",539
1633,513,TRUE,"",513
1634,567,TRUE,"",567
1635,335,TRUE,"",335
1636,434,TRUE,"",434
1637,514,TRUE,"",514
1638,514,TRUE,"",514
1639,443,TRUE,"",443
1640,585,TRUE,"",585
1641,329,TRUE,"",329
1642,565,TRUE,"",565
1643,582,TRUE,"",582
1644,229,TRUE,"",229
1645,554,TRUE,"",554
1646,617,TRUE,"",617
1647,281,TRUE,"",281
1648,346,TRUE,"",346
1649,497,TRUE,"",497
1650,613,TRUE,"",613
1651,321,TRUE,"",321
1652,549,TRUE,"",549
1653,424,TRUE,"",424
1654,229,TRUE,"",229
1655,428,TRUE,"",428
1656,329,TRUE,"",329
1657,328,TRUE,"",328
1658,512,TRUE,"",512
1659,571,TRUE,"",571
1660,607,TRUE,"",607
1661,293,TRUE,"",293
1662,608,TRUE,"",608
1663,250,TRUE,"",250
1664,294,TRUE,"",294
1665,603,TRUE,"",603
1666,562,TRUE,"",562
1667,399,TRUE,"",399
1668,431,TRUE,"",431
1669,327,TRUE,"",327
1670,566,TRUE,"",566
1671,271,TRUE,"",271
1672,518,TRUE,"",518
1673,424,TRUE,"",424
1674,244,TRUE,"",244
1675,319,TRUE,"",319
1676,503,TRUE,"",503
1677,572,TRUE,"",572
1678,492,TRUE,"",492
1679,595,TRUE,"",595
1680,508,TRUE,"",508
1681,280,TRUE,"",280
1682,293,TRUE,"",293
1683,516,TRUE,"",516
1684,247,TRUE,"",247
1685,224,TRUE,"",224
1686,582,TRUE,"",582
1687,346,TRUE,"",346
1688,586,TRUE,"",586
1689,254,TRUE,"",254
1690,478,TRUE,"",478
1691,424,TRUE,"",424
1692,543,TRUE,"",543
1693,459,TRUE,"",459
1694,542,TRUE,"",542
1695,243,TRUE,"",243
1696,457,TRUE,"",457
1697,578,TRUE,"",578
1698,482,TRUE,"",482
1699,308,TRUE,"",308
1700,481,TRUE,"",481
1701,339,TRUE,"",339
1702,458,TRUE,"",458
1703,293,TRUE,"",293
1704,222,TRUE,"",222
1705,516,TRUE,"",516
1706,534,TRUE,"",534
1707,230,TRUE,"",230
1708,316,TRUE,"",316
1709,549,TRUE,"",549
1710,567,TRUE,"",567
1711,291,TRUE,"",291
1712,570,TRUE,"",570
1713,563,TRUE,"",563
1714,559,TRUE,"",559
1715,254,TRUE,"",254
1716,477,TRUE,"",477
1717,206,TRUE,"",206
1718,542,TRUE,"",542
1719,302,TRUE,"",302
1720,211,TRUE,"",211
1721,550,TRUE,"",550
1722,526,TRUE,"",526
1723,228,TRUE,"",228
1724,561,TRUE,"",561
1725,556,TRUE,"",556
1726,556,TRUE,"",556
1727,463,TRUE,"",463
1728,396,TRUE,"",396
1729,494,TRUE,"",494
1730,411,TRUE,"",411
1731,503,TRUE,"",503
1732,545,TRUE,"",545
1733,547,TRUE,"",547
1734,476,TRUE,"",476
1735,514,TRUE,"",514
1736,554,TRUE,"",554
1737,259,TRUE,"",259
1738,545,TRUE,"",545
1739,457,TRUE,"",457
1740,549,TRUE,"",549
1741,549,TRUE,"",549
1742,228,TRUE,"",228
1743,517,TRUE,"",517
1744,495,TRUE,"",495
1745,256,TRUE,"",256
1746,489,TRUE,"",489
1747,416,TRUE,"",416
1748,440,TRUE,"",440
1749,540,TRUE,"",540
1750,207,TRUE,"",207
1751,479,TRUE,"",479
1752,503,TRUE,"",503
1753,454,TRUE,"",454
1754,515,TRUE,"",515
1755,526,TRUE,"",526
1756,490,TRUE,"",490
1757,441,TRUE,"",441
1758,225,TRUE,"",225
1759,532,TRUE,"",532
1760,496,TRUE,"",496
1761,225,TRUE,"",225
1762,504,TRUE,"",504
1763,205,TRUE,"",205
1764,442,TRUE,"",442
1765,467,TRUE,"",467
1766,489,TRUE,"",489
1767,495,TRUE,"",495
1768,518,TRUE,"",518
1769,457,TRUE,"",457
1770,513,TRUE,"",513
1771,470,TRUE,"",470
1772,450,TRUE,"",450
1773,497,TRUE,"",497
