lon,lat,y,residual,Temperature,Shortwave radiation,soil-depth,Wind speed,Soil bulk density,Soil C,Soil N,Soil P,Soil pH,Soil CEC,Soil sand,Soil clay,Distance to manmade land,Distance to water,Slope,cos(Aspect),sin(Aspect),Elevation,Precipitation
118.33249,-33.488663,38.11,11.10158108,15.7113981,231.7928986,0.737073466,7.093768748,1.442430113,1.486943859,0.099198663,0.114570653,5.468340495,7.931619059,86.13959914,8.525372804,92.13259064,22.07757274,0.166990358,0.016498008,0.135430822,320.6818182,3828.878507
118.83249,-21.488663,16.42,0.191566635,27.47721357,269.830734,0.163611416,6.185486425,1.475776652,0.491486026,0.131945444,0.118978416,6.315961805,5.411630556,82.08085833,10.79409167,468.1893693,47.13297105,0.215966472,0.156467838,0.034937772,249.98,4211.828457
118.83249,-21.988663,13.97,-0.964963896,26.82959261,269.1493084,0.233669277,6.2863905,1.479865894,0.608254026,0.109293889,0.116752943,6.177408222,6.367308333,76.58796944,14.46608889,532.4542472,47.5515047,0.321674442,0.090322587,0.072253267,396.65,4075.559502
118.83249,-22.988663,77.33,56.79777835,24.52124934,267.1459343,0.51464722,6.327920294,1.431020762,0.706925943,0.140252639,0.16538464,5.427099585,7.686055556,74.16767778,16.23019167,383.3646475,99.53176654,0.431033406,-0.078258454,-0.019939402,757.32,3667.310076
118.83249,-23.988663,32.11,16.53905324,25.63225085,267.4886361,0.268184917,6.445779406,1.487414692,0.494534054,0.088349611,0.105899834,5.791476195,6.803211111,74.84660278,15.31634167,464.8713166,90.47479297,0.23917375,-0.058376402,-0.090973609,515.2636364,2952.994626
118.83249,-25.488663,23.17,3.596628701,24.13765655,265.3460768,0.371853747,6.838472618,1.548763528,0.455120443,0.054798417,0.119960526,5.219830861,6.137783333,77.624675,13.52109722,494.190702,71.01952264,0.12477446,0.014910968,-0.15050049,547.4363636,2341.674591
118.83249,-26.988663,10.63,-10.54531275,22.83388007,263.0153736,0.137395882,7.043859998,1.51903913,0.63156149,0.044003672,0.124617054,5.657632109,6.91190039,79.39432944,12.93074569,226.3910041,36.17891555,0.12665639,0.052029863,-0.053497157,502.57,2391.789894
118.83249,-27.488663,6.2,-15.88648475,22.35089463,261.5981773,0.291077778,7.118871958,1.517547101,0.55159043,0.033999137,0.132717013,5.264562691,5.564078323,80.54837086,12.34156569,378.6012596,52.2248214,0.161006449,-0.002535476,-0.087601338,508.4454545,2524.646305
118.83249,-28.488663,5.371755734,-15.32256962,21.45717162,258.3873596,0.305312639,7.136195393,1.488851787,0.64724486,0.038060388,0.132949693,5.400579278,7.156977778,78.63504444,13.35466667,459.2037034,42.74191873,0.161360881,0.055109788,-0.016462873,470.53,2750.469534
118.83249,-28.988663,7.868069091,-14.20898507,20.84273939,256.1727001,0.352714667,7.134063517,1.469960776,0.737793833,0.039030444,0.150165139,5.145863749,5.953511111,80.78513333,11.74256389,576.3898831,39.19814139,0.197065102,-0.130247784,-0.149001535,464.9,2808.449702
