"point_id","X","Y","best_model","best_dg","lon","lat"
86,-238119.4221,-3363273.6404,"cubist",0.7229,129.4839,-30.871
87,-116012.5765,-3361485.2728,"xgbTree",1.3096,130.7742,-30.871
88,372408.3894,-3366665.1296,"knn",1.1207,135.9355,-30.871
89,494449.748,-3371042.7621,"rpart",0.9857,137.2258,-30.871
90,1225203.8008,-3423163.7876,"cubist",1.2794,144.9677,-30.871
91,1346631.136,-3436151.561,"knn",0.8001,146.2581,-30.871
92,1467921.0108,-3450365.046,"rpart",2.3108,147.5484,-30.871
93,1589061.2406,-3465802.8146,"knn",0.7391,148.8387,-30.871
94,1830842.9776,-3500344.7333,"xgbTree",0.6325,151.4194,-30.871
95,1951459.8214,-3519445.3579,"xgbTree",0.6092,152.7097,-30.871
96,-977933.5199,-3298986.7244,"rpart",0.9914,121.7419,-29.9677
97,-486284.936,-3269405.7294,"cubist",-6.5254,126.9032,-29.9677
98,-363217.4863,-3265115.7431,"cubist",35.7535,128.1935,-29.9677
99,129297.5208,-3260389.9556,"xgbTree",1.4763,133.3548,-29.9677
100,498589.1408,-3269903.0857,"xgbTree",1.0306,137.2258,-29.9677
101,621601.4305,-3275560.0511,"rf",1.1182,138.5161,-29.9677
102,1235460.8588,-3322460.4536,"xgbTree",0.7224,144.9677,-29.9677
103,1602364.4096,-3365456.4424,"rpart",0.2801,148.8387,-29.9677
104,-1603365.8207,-3263424.0091,"xgbTree",2.5332,115.2903,-29.0645
105,-1109770.6764,-3208611.6542,"knn",-0.0872,120.4516,-29.0645
106,-862243.4869,-3188693.8002,"rf",0.8808,123.0323,-29.0645
107,-117955.6102,-3158984.9196,"xgbTree",4.1434,130.7742,-29.0645
108,6208.2749,-3158420.5956,"xgbTree",2.0596,132.0645,-29.0645
109,626765.2062,-3174406.4412,"knn",1.2605,138.5161,-29.0645
110,1738679.8302,-3281989.1119,"cubist",0.4315,150.129,-29.0645
111,2106578.4863,-3340248.7538,"rpart",1.2736,154,-29.0645
112,-869349.7444,-3087623.3399,"rpart",86.8137,123.0323,-28.1613
113,-369253.1686,-3062600.3665,"xgbTree",10.4578,128.1935,-28.1613
114,-118927.752,-3057669.6108,"rpart",13.7106,130.7742,-28.1613
115,131446.0924,-3057796.0492,"xgbTree",2.0135,133.3548,-28.1613
116,1006662.1426,-3098044.6079,"rpart",0.8453,142.3871,-28.1613
117,1628991.3287,-3164608.4541,"xgbTree",2.1436,148.8387,-28.1613
118,1876848.5811,-3200018.3455,"xgbTree",1.1983,151.4194,-28.1613
119,-1754844.7983,-3079598.5201,"xgbTree",1.7069,114,-27.2581
120,-1128064.0283,-3006790.2007,"xgbTree",0.9618,120.4516,-27.2581
121,-1002311.4968,-2996031.8069,"xgbTree",-0.0071,121.7419,-27.2581
122,-624491.6098,-2971384.0567,"xgbTree",-1.2693,125.6129,-27.2581
123,-119899.979,-2956345.4238,"xgbTree",-26.1061,130.7742,-27.2581
124,889046.3177,-2987435.5926,"xgbTree",1.2811,141.0968,-27.2581
125,1642308.2318,-3064158.4855,"xgbTree",0.442,148.8387,-27.2581
126,-1390392.9464,-2931420.3256,"knn",0.8579,117.871,-26.3548
127,-1137209.6699,-2905890.8843,"knn",0.286,120.4516,-26.3548
128,-883562.39,-2885480.5629,"xgbTree",-0.106,123.0323,-26.3548
129,-629554.5995,-2870197.6893,"knn",-0.8657,125.6129,-26.3548
130,-502447.8465,-2864481.0739,"cubist",-1.6004,126.9032,-26.3548
131,-375289.9386,-2860048.4991,"rpart",-0.7784,128.1935,-26.3548
132,642261.9271,-2870839.9501,"rpart",16.2089,138.5161,-26.3548
133,769297.326,-2877968.3281,"xgbTree",2.8361,139.8065,-26.3548
134,1403038.1497,-2932831.0049,"knn",0.2558,146.2581,-26.3548
135,1529408.5543,-2947639.8572,"xgbTree",0.3501,147.5484,-26.3548
136,1781668.5535,-2981082.5939,"rpart",-0.2084,150.129,-26.3548
137,-1656217.019,-2861650.8914,"rpart",0.4258,115.2903,-25.4516
138,-1274026.0015,-2817254.6894,"cubist",0.5851,119.1613,-25.4516
139,-1146351.6671,-2805031.7756,"xgbTree",0.6924,120.4516,-25.4516
140,-506487.0108,-2763289.0728,"rf",-3.2473,126.9032,-25.4516
141,134669.0181,-2753898.7505,"xgbTree",0.7582,133.3548,-25.4516
142,262911.2834,-2755906.5305,"xgbTree",0.1529,134.6452,-25.4516
143,391126.8292,-2759209.4248,"knn",0.2219,135.9355,-25.4516
144,1159124.548,-2806196.0292,"cubist",0.2266,143.6774,-25.4516
145,1668932.5537,-2863330.0878,"knn",-0.7532,148.8387,-25.4516
146,2176016.9114,-2941007.9838,"rpart",0.5966,154,-25.4516
147,-1797506.0262,-2778814.8549,"knn",0.0273,114,-24.5484
148,-1669416.7597,-2761306.8854,"rpart",0.5873,115.2903,-24.5484
149,-510523.6178,-2662161.1415,"rpart",-0.4175,126.9032,-24.5484
150,6464.0259,-2651977.8377,"rpart",35.1239,132.0645,-24.5484
151,135742.305,-2652695.98,"rpart",4.3865,133.3548,-24.5484
152,394244.037,-2658048.9794,"knn",0.9013,135.9355,-24.5484
153,781662.1303,-2675865.1745,"rpart",9.7391,139.8065,-24.5484
154,910659.5155,-2684411.3967,"knn",2.4121,141.0968,-24.5484
155,1039564.1065,-2694260.0313,"xgbTree",1.2545,142.3871,-24.5484
156,1168362.5544,-2705410.0583,"knn",0.7197,143.6774,-24.5484
157,1553990.5162,-2746656.5239,"rpart",0.1044,147.5484,-24.5484
158,1938191.9074,-2799566.7007,"knn",0.5462,151.4194,-24.5484
159,-1423901.152,-2629672.8885,"xgbTree",0.9229,117.871,-23.6452
160,-1164616.2068,-2603528.1925,"knn",0.2863,120.4516,-23.6452
161,-644726.7456,-2566974.7983,"xgbTree",-2.8725,125.6129,-23.6452
162,-384334.3547,-2556581.0145,"xgbTree",-5.7115,128.1935,-23.6452
163,-123785.047,-2551448.8749,"xgbTree",-0.4337,130.7742,-23.6452
164,267100.1843,-2553620.247,"xgbTree",0.2346,134.6452,-23.6452
165,657740.3174,-2567632.5374,"cubist",0.1379,138.5161,-23.6452
166,1436851.1023,-2631117.5649,"rpart",0.5542,146.2581,-23.6452
167,1824606.4269,-2680532.008,"knn",1.1292,150.129,-23.6452
168,1953503.5841,-2699611.4738,"cubist",1.0808,151.4194,-23.6452
169,2082201.3695,-2719991.779,"rpart",0.4456,152.7097,-23.6452
170,-1825891.1227,-2578685.2816,"xgbTree",147.5872,114,-22.7419
171,-1695779.1502,-2560900.8372,"cubist",8.4632,115.2903,-22.7419
172,-1435049.6498,-2529278.6551,"knn",1.7186,117.871,-22.7419
173,-1173734.6214,-2502929.258,"rpart",1.6959,120.4516,-22.7419
174,-1042890.8961,-2491735.3018,"rpart",0.4372,121.7419,-22.7419
175,-387343.5177,-2455614.505,"cubist",-3.8671,128.1935,-22.7419
176,-256061.9328,-2452365.3058,"xgbTree",21.4855,129.4839,-22.7419
177,6566.1017,-2449845.3332,"xgbTree",0.7639,132.0645,-22.7419
178,137885.863,-2450574.816,"rpart",0.8754,133.3548,-22.7419
179,662890.1246,-2466752.5563,"xgbTree",0.4668,138.5161,-22.7419
180,925040.0838,-2482791.0629,"xgbTree",0.005,141.0968,-22.7419
181,1186812.6087,-2504121.3222,"rpart",0.4307,143.6774,-22.7419
182,1317523.9992,-2516768.2289,"xgbTree",0.3521,144.9677,-22.7419
183,1708798.4214,-2562620.1447,"xgbTree",1.0324,148.8387,-22.7419
184,-1708935.9699,-2460883.1151,"cubist",0.6715,115.2903,-21.8387
185,-1314579.4516,-2415073.7401,"cubist",-0.9445,119.1613,-21.8387
186,-1182841.1226,-2402461.7594,"xgbTree",1.3825,120.4516,-21.8387
187,-1050982.2371,-2391180.9542,"xgbTree",2.0149,121.7419,-21.8387
188,-919016.0415,-2381232.4575,"rpart",0.6583,123.0323,-21.8387
189,271279.9977,-2351772.8115,"xgbTree",0.2237,134.6452,-21.8387
190,403576.7653,-2355180.8399,"xgbTree",0.422,135.9355,-21.8387
191,1327746.1001,-2416408.1009,"xgbTree",0.5481,144.9677,-21.8387
192,1984073.6879,-2500048.6346,"xgbTree",0.5394,151.4194,-21.8387
