"dataset","n_samples","repeat_id","model","mae","rmse"
"unscreened",894,3,"GOS",0.538448390409744,0.705706640398438
"unscreened",894,4,"MLR",0.551372400511263,0.729463594140443
"unscreened",894,4,"BCS",0.513982638420492,0.696065037540358
"unscreened",894,4,"GOS",0.513292140535353,0.699201548525322
"unscreened",894,5,"MLR",0.567465217836882,0.718696371109457
"unscreened",894,5,"BCS",0.554756481611752,0.717003030834598
"unscreened",894,5,"GOS",0.545204183860151,0.70846603520524
"unscreened",894,6,"MLR",0.550123176478239,0.697239625181665
"unscreened",894,6,"BCS",0.530076265788774,0.675456869618118
"unscreened",894,6,"GOS",0.51879029650293,0.667326616395314
"unscreened",894,7,"MLR",0.57640302705099,0.728534484015125
"unscreened",894,7,"BCS",0.552655967551855,0.704711658238946
"unscreened",894,7,"GOS",0.53828569268065,0.692086874775169
"unscreened",894,8,"MLR",0.550331277440083,0.702163136371492
"unscreened",894,8,"BCS",0.527359845960209,0.676278836058103
"unscreened",894,8,"GOS",0.52091611002953,0.669186312732099
"unscreened",894,9,"MLR",0.562056464167368,0.703828567832359
"unscreened",894,9,"BCS",0.536897683264643,0.694885638339859
"unscreened",894,9,"GOS",0.537356367609976,0.692695511391772
"unscreened",894,10,"MLR",0.549729953520556,0.71078379980004
"unscreened",894,10,"BCS",0.532242369068649,0.691470997556514
"unscreened",894,10,"GOS",0.526639948835045,0.68755970990558
"unscreened",894,11,"MLR",0.584080153198129,0.752947186704645
"unscreened",894,11,"BCS",0.545067501503318,0.726615753965193
"unscreened",894,11,"GOS",0.532874918799364,0.719587414860483
"unscreened",894,12,"MLR",0.552923556621295,0.71041380635534
"unscreened",894,12,"BCS",0.51974152827103,0.687230453704253
"unscreened",894,12,"GOS",0.513610784043702,0.679701451313284
"unscreened",894,13,"MLR",0.554186623002892,0.709482247101271
"unscreened",894,13,"BCS",0.536848123453526,0.693982357017612
"unscreened",894,13,"GOS",0.531956463527411,0.688105062854674
"unscreened",894,14,"MLR",0.581390185169227,0.748019530959143
"unscreened",894,14,"BCS",0.548433297985821,0.716340424930539
"unscreened",894,14,"GOS",0.53795416376795,0.708837836713224
"unscreened",894,15,"MLR",0.559190664223728,0.707075536038813
"unscreened",894,15,"BCS",0.526315722202231,0.679825391534346
"unscreened",894,15,"GOS",0.517549066900664,0.669684452588993
"unscreened",894,16,"MLR",0.560805741780271,0.717105628036342
"unscreened",894,16,"BCS",0.552770033319333,0.71216250685105
"unscreened",894,16,"GOS",0.547996511856668,0.706497742734097
"unscreened",894,17,"MLR",0.558696140247674,0.719798849435744
"unscreened",894,17,"BCS",0.539499045624772,0.709039496253186
"unscreened",894,17,"GOS",0.529838988548092,0.700901089900014
"unscreened",894,18,"MLR",0.574216832657323,0.727286044203342
"unscreened",894,18,"BCS",0.559556021782762,0.715636622185778
"unscreened",894,18,"GOS",0.551202250320831,0.70784714273481
"unscreened",894,19,"MLR",0.580685909263185,0.738522182505916
"unscreened",894,19,"BCS",0.555269968150154,0.71782433840672
"unscreened",894,19,"GOS",0.545009759876864,0.706802540159175
"unscreened",894,20,"MLR",0.557190928096089,0.708888438776816
"unscreened",894,20,"BCS",0.55348348284565,0.719279722838334
"unscreened",894,20,"GOS",0.543591638051131,0.70751132374417
"unscreened",894,21,"MLR",0.567272285609529,0.724441646800928
"unscreened",894,21,"BCS",0.542117522454886,0.706559747276586
"unscreened",894,21,"GOS",0.535880712766424,0.701877107542
"unscreened",894,22,"MLR",0.576258716000602,0.73166860107621
"unscreened",894,22,"BCS",0.544301618840449,0.71269497762243
"unscreened",894,22,"GOS",0.541930006305165,0.713501414049985
"unscreened",894,23,"MLR",0.581615015993069,0.722108838719799
"unscreened",894,23,"BCS",0.551882957225916,0.697618229411491
"unscreened",894,23,"GOS",0.544179185506012,0.690215807314528
"unscreened",894,24,"MLR",0.572023885760939,0.736325356726639
"unscreened",894,24,"BCS",0.544816466220145,0.707453600127269
"unscreened",894,24,"GOS",0.532977788836705,0.696975296585799
"unscreened",894,25,"MLR",0.591097785446417,0.751305370482747
"unscreened",894,25,"BCS",0.575967743696555,0.74107009262398
"unscreened",894,25,"GOS",0.568462258199183,0.730559930008888
"unscreened",894,26,"MLR",0.569086178228462,0.715201162284942
"unscreened",894,26,"BCS",0.542090560988864,0.688598182481917
