"Elevation.Elevation_b1t0","Elevation.Elevation_b1t0.1","Elevation.Elevation_b1t0.2","Elevation.Elevation_b1t0.3","Elevation.Elevation_b1t0.4","Elevation.Elevation_b1t0.5","Elevation.Elevation_b1t0.6","Elevation.Elevation_b1t0.7","Elevation.Elevation_b1t0.8","Elevation.Elevation_b1t0.9","Elevation.Elevation_b1t1","Elevation.Elevation_b3t0","Elevation.Elevation_b3t0.1","Elevation.Elevation_b3t0.2","Elevation.Elevation_b3t0.3","Elevation.Elevation_b3t0.4","Elevation.Elevation_b3t0.5","Elevation.Elevation_b3t0.6","Elevation.Elevation_b3t0.7","Elevation.Elevation_b3t0.8","Elevation.Elevation_b3t0.9","Elevation.Elevation_b3t1","Elevation.Elevation_b5t0","Elevation.Elevation_b5t0.1","Elevation.Elevation_b5t0.2","Elevation.Elevation_b5t0.3","Elevation.Elevation_b5t0.4","Elevation.Elevation_b5t0.5","Elevation.Elevation_b5t0.6","Elevation.Elevation_b5t0.7","Elevation.Elevation_b5t0.8","Elevation.Elevation_b5t0.9","Elevation.Elevation_b5t1","Elevation.Elevation_b7t0","Elevation.Elevation_b7t0.1","Elevation.Elevation_b7t0.2","Elevation.Elevation_b7t0.3","Elevation.Elevation_b7t0.4","Elevation.Elevation_b7t0.5","Elevation.Elevation_b7t0.6","Elevation.Elevation_b7t0.7","Elevation.Elevation_b7t0.8","Elevation.Elevation_b7t0.9","Elevation.Elevation_b7t1","Elevation.Elevation_b9t0","Elevation.Elevation_b9t0.1","Elevation.Elevation_b9t0.2","Elevation.Elevation_b9t0.3","Elevation.Elevation_b9t0.4","Elevation.Elevation_b9t0.5","Elevation.Elevation_b9t0.6","Elevation.Elevation_b9t0.7","Elevation.Elevation_b9t0.8","Elevation.Elevation_b9t0.9","Elevation.Elevation_b9t1"
513.5247153,517.30781585,519.33252,520.7718609,522.2740206,524.57860995,525.8342513,530.47877845,542.5449543,544.30601355,546.4409096,477.7831531,488.49941245,508.5723033,516.3549969,522.2740206,530.38385415,536.6485438,542.58366755,550.8079389,564.34669645,585.1520606,477.2404087,479.71762315,488.4308355,501.31737141,515.51591648,525.6915737,531.36921322,540.90422479,549.6886805,564.57025506,627.7885283,474.8625349,478.99015246,484.23523284,493.2736215,504.67829316,521.3045951,529.81732234,541.20421048,557.979288,582.98366954,688.5017912,473.3989859,478.81015535,484.038885,491.08216485,501.4301644,520.8128441,530.8364033,545.2827551,565.7679141,599.24762845,688.5017912
478.5459205,478.75839116,478.83297732,478.8696864,479.16312696,479.3761647,479.53289816,479.67994504,479.7744271,479.95666194,480.4510129,476.3972841,477.2745072,477.80121272,478.16808402,478.81465502,479.4736792,480.14004958,480.61966224,481.96997502,483.71433058,498.2058335,473.8840694,476.9226147,478.13538974,479.35665486,480.71879132,482.869401,485.7588997,491.2907796,507.78149498,522.29366634,568.2587273,472.4562688,477.02564344,479.20709344,482.210387,486.11549102,489.4552801,494.33976342,502.94628278,515.0021138,532.35554404,577.6864794,470.2401954,477.30135449,480.65483476,485.60077849,488.40821088,491.35741985,495.01548536,504.40255287,519.86051438,537.20854236,616.6312914
593.8520312,613.67744833,630.83912636,643.44919686,646.4273536,652.63648035,659.5576703,687.5701856,691.73678084,700.24587613,730.7768588,511.2086809,528.1290739,539.30956356,555.68931293,573.93180474,601.1245969,639.1400852,673.53114999,708.65219592,738.42968877,799.9967913,488.5358585,499.37783742,507.98968556,515.27892932,524.03117426,536.5300911,554.86520066,576.02295296,622.5777029,689.4173612,799.9967913,483.3813018,488.32188081,495.91880378,503.10143302,510.27205834,519.0056115,528.97278582,543.20230164,563.77110864,623.72482847,799.9967913,479.3585054,486.35148649,489.56051284,495.93910037,501.82096128,510.13496785,519.7751387,531.48649618,546.93020128,585.54542004,799.9967913
513.91916,517.65098754,527.10782794,530.49042692,530.61642588,530.8474913,531.88377714,532.56134542,537.42985062,538.13493298,546.9553366,500.6673007,512.75200825,518.2404541,524.7368259,531.6571753,535.5402418,540.7964605,545.7852409,551.7504198,559.94772715,694.9396255,489.8925037,503.64614608,514.17357136,521.50605517,530.2983825,536.74938435,543.76811954,550.322465,566.81872246,628.98737231,835.355217,483.5862841,497.66485036,509.16968836,517.88530582,526.08188254,533.5222175,541.61583368,551.18736394,571.93284244,629.50767442,835.355217,471.7005823,488.07425719,499.5436906,513.10406568,521.92197456,530.8005455,537.22497828,549.03478315,566.69167542,607.99553752,835.355217
500.8312696,501.78185316,502.98801204,503.13662046,504.6118613,506.1268995,506.93298536,509.00509336,510.62637736,513.54189048,515.028906,494.3694637,496.85619814,499.75531632,501.19233784,503.8182121,506.94186575,510.34409172,514.4907996,520.92512374,531.71468605,562.6197591,484.8531543,494.53307756,498.55980608,501.81315591,506.0811807,510.4196987,515.73323,521.78712021,532.9063652,562.36244508,799.9967913,480.7242593,487.5948214,495.9910657,500.57809395,506.0223112,512.825239,520.329688,529.07360525,544.6670951,593.27505015,799.9967913,476.8762872,485.8921276,493.8291425,499.0554384,505.5102891,512.30438125,520.568548,532.23060935,546.8831928,582.303148,799.9967913
497.7423862,498.97672924,499.97580452,500.15502414,500.6624766,501.71785875,502.91221428,503.14396866,503.44916576,504.04127875,507.4578198,488.4699941,493.9113827,495.8239099,498.23003652,499.98465392,500.91446275,502.5340772,504.44723145,507.30361534,511.0664786,529.3373238,484.3931637,489.5543686,491.7954118,494.53441204,496.52343044,498.8587763,500.75583484,503.89101906,507.08005488,511.79719968,529.3373238,479.879983,485.9275287,489.29918622,492.48414485,495.49474178,498.0648369,500.81576316,504.69755519,509.7061294,515.97534506,537.9707151,475.297715,483.32076366,487.43943186,492.11293594,496.5465663,499.9880285,504.32374548,509.7521408,518.6736285,529.10419738,730.3671202
482.4062647,482.6916875,483.1435798,483.1587642,483.5421493,483.6463141,483.8569719,484.4778513,484.7418524,485.1043702,485.6419637,479.5040214,480.4863085,481.33160562,482.34700858,483.21165264,484.1569132,484.99785896,485.93047214,487.75630566,490.3397748,503.8518047,477.4098764,479.26703057,480.8838661,483.53711573,485.66951646,487.7766699,489.75216756,492.65102114,497.91385754,510.2513919,568.2587273,475.2433456,478.72241138,481.95326502,486.31723138,489.05970174,491.0874809,493.33851852,497.31482476,508.2427745,523.57194934,568.2587273,473.6698397,478.91560804,484.9412339,488.51926253,491.25088632,493.6301771,497.05513716,503.82199469,519.6561514,531.19001692,585.1520606
487.1376691,487.21795548,487.31824624,487.58893354,487.7975829,487.8501604,488.98855272,489.098002,489.95919676,490.50068988,490.7078978,485.6943943,486.65024772,486.98367492,487.41056039,488.36345338,489.4316714,490.83307656,492.32824389,494.37323732,497.40528446,513.4781039,484.7310375,486.36160036,487.50960262,489.99089854,492.35045022,495.5833538,499.53435266,506.48900868,514.90277728,531.33530784,628.7376766,477.4098764,485.78473276,487.33847428,490.01260006,492.8778192,496.8907662,502.74822922,510.45826177,519.11291736,538.60889094,723.512469,474.2080568,482.93087866,486.44958586,488.56472816,491.99632028,496.5787401,503.8680639,514.14820608,527.86150784,551.20446412,773.0616429
492.1896629,496.57421958,499.61901682,501.26342164,504.446995,506.78109255,508.11108754,513.23577823,515.41466364,522.00678211,528.9102293,485.6943943,487.02515469,489.10868644,492.3911593,499.01768174,506.1414814,516.13035912,529.04570448,550.53494496,589.23997274,628.7376766,485.1718967,486.29206208,487.39216016,490.85207161,496.78178142,505.43508205,517.41140014,529.45440344,557.66911296,612.60244548,763.5057034,484.6261873,486.88970964,489.49169406,494.12205071,500.94033784,510.6841011,521.08717338,535.29036784,555.64443714,613.25728397,776.3578453,479.3436483,487.08488644,490.82223276,495.52462788,503.07905994,512.8099448,522.58452092,535.4364165,551.68478106,587.0359622,799.9967913
529.0726163,533.88751905,534.37865822,536.76527383,539.32522402,540.6915681,542.5066433,543.80746309,544.61633058,547.6409358,550.3314524,509.8160885,530.27408282,535.00991778,540.42532882,544.66663696,548.5230591,553.69647184,559.75615506,577.34171614,603.88881502,779.5457984,498.6280678,516.67374439,526.84913944,536.06307468,541.95345314,547.56035805,553.71927556,566.96879917,591.2889818,670.60262402,835.355217,488.0633152,508.88636993,519.82521778,530.47701535,536.15839634,543.92893475,553.26260304,565.54830113,584.86922304,634.88096141,835.355217,480.7262369,500.25728662,515.40619038,523.87113219,530.85729772,537.2854643,547.26994916,558.58596248,572.62001108,607.94342284,835.355217
