"SampleID","Lon","Lat","Cr_ppm","Cu_ppm","y"
375,118.4283603,-24.7848461,34,60,3.52636052461616
376,118.4288488,-24.88914689,61,55,4.11087386417331
377,118.4288697,-24.81574634,354,64,5.86929691313377
378,118.4307187,-24.92453703,256,68,5.54517744447956
379,118.4322587,-24.96870713,231,59,5.44241771052179
380,118.4324291,-24.85230671,517,62,6.24804287450843
381,118.4372475,-25.1605876,218,49,5.38449506278909
382,118.4456881,-25.18793744,282,32,5.64190707093811
383,118.4539795,-24.42060611,85,28,4.44265125649032
384,118.4539895,-24.37606612,49,16,3.89182029811063
385,118.454288,-25.0304074,279,53,5.63121178182137
386,118.4551297,-24.63213615,65,48,4.17438726989564
387,118.4596998,-24.71487615,133,68,4.89034912822175
388,118.4602173,-25.17037774,277,27,5.62401750618734
389,118.4609296,-24.50884609,39,51,3.66356164612965
390,118.4612199,-24.76137618,237,68,5.46806014113513
391,118.4612799,-24.78671624,85,55,4.44265125649032
392,118.4616702,-24.89441681,297,69,5.6937321388027
393,118.4632196,-24.4520461,127,70,4.84418708645859
394,118.4656586,-25.19643734,162,40,5.08759633523238
395,118.4700674,-25.13469776,304,47,5.71702770140622
396,118.4700997,-24.67674613,103,63,4.63472898822964
397,118.4701397,-24.59194612,198,61,5.28826703069454
398,118.4710381,-25.04685747,278,68,5.62762111369064
399,118.4715301,-24.85395669,124,58,4.82028156560504
400,118.4732691,-24.96728716,367,79,5.90536184805457
401,118.47547,-24.82280637,289,69,5.66642668811243
402,118.4805497,-24.56813611,88,52,4.47733681447821
403,118.4816175,-25.10512776,184,50,5.21493575760899
404,118.4840303,-24.92901698,385,89,5.95324333428778
405,118.4884273,-25.13881785,192,44,5.25749537202778
406,118.490188,-25.05791761,280,46,5.63478960316925
407,118.4907297,-24.64361612,131,34,4.87519732320115
408,118.4914598,-24.74342617,110,60,4.70048036579242
409,118.4924895,-24.4271561,124,63,4.82028156560504
410,118.4958076,-25.18477775,267,31,5.58724865840025
411,118.4958496,-24.51769608,299,37,5.70044357339069
412,118.4964302,-24.88405688,224,62,5.41164605185504
413,118.5059774,-25.13677791,168,39,5.12396397940326
414,118.5069299,-24.8324264,384,65,5.95064255258773
415,118.5089202,-24.91678695,328,77,5.79301360838414
416,118.5106801,-24.90357687,379,60,5.93753620508243
417,118.5111499,-24.78669629,386,58,5.95583736946483
418,118.5144096,-24.4506561,259,74,5.55682806169954
419,118.5188098,-24.72899616,296,62,5.69035945432406
420,118.5189396,-24.51999609,132,62,4.88280192258637
421,118.5190076,-25.09145787,179,34,5.18738580584075
422,118.5216975,-25.13631794,190,42,5.24702407216049
423,118.5250799,-24.8746466,153,56,5.03043792139244
424,118.5271196,-24.55905608,316,71,5.75574221358691
425,118.5289198,-24.75693621,239,58,5.47646355193151
426,118.5290586,-24.95221728,143,67,4.96284463025991
427,118.5292497,-24.61969608,151,26,5.01727983681492
428,118.5298578,-25.17186784,309,45,5.73334127689775
429,118.5319578,-25.08451783,197,57,5.28320372873799
430,118.5322396,-24.49495609,114,64,4.7361984483945
431,118.5347397,-24.66045612,295,58,5.68697535633982
432,118.5378479,-25.0678078,171,52,5.14166355650266
433,118.5404097,-24.69072614,225,97,5.41610040220442
434,118.543428,-25.02912735,182,41,5.2040066870768
435,118.5446897,-24.63312608,274,36,5.61312810638807
436,118.5491795,-25.19755759,214,45,5.36597601502185
437,118.5501696,-24.59723607,241,46,5.48479693349065
438,118.5510698,-24.77445623,195,75,5.27299955856375
439,118.5510898,-24.74504619,214,78,5.36597601502185
440,118.5529898,-24.72643615,266,49,5.5834963087817
441,118.5537676,-24.96291766,166,58,5.11198778835654
442,118.5576396,-24.55482607,500,62,6.21460809842219
443,118.5600399,-24.9176368,183,77,5.20948615284142
