"y","pH_b9t0.9","pH_b9t0.7","NDVI_b9t0.1","pH_b3t0.9","NDVI_b5t0.1","NDVI_b7t0.4","pH_b1t1","Water_b9t1","Road_b9t0.8","SOC_b9t1"
4.02535169073515,5.5101616086,5.4065404889,1.4791653195,5.5209339756,1.424330179,1.6650137086,5.488939553,25.62948598,18.41606274,0.921833611
4.17438726989564,5.7861211516,5.6059944564,1.729951769,5.855660556,1.834191492,2.055171373,5.855329636,21.52492246,23.699071908,0.947845634
4.60517018598809,5.5994137975,5.4554145429,1.5058483889,5.5527323731,1.536271869,1.642008833,5.609116767,21.47833444,16.183777356,1.045733167
3.73766961828337,5.756136971,5.583965283,1.551951748,5.6096144632,1.6403163366,1.8383375846,5.542663237,22.28061419,26.52393284,0.901782384
5.6970934865054,5.6780288996,5.5973717268,1.5340370358,5.6424373798,1.763378687,2.0817869906,5.670622377,10.98058207,16.193131408,0.951386028
3.98898404656427,5.7561388705,5.6549909345,1.754204348,5.6783303205,1.6252885765,2.0435249086,5.750441074,19.91503048,16.1186579,0.947845634
5.25227342804663,5.666007477,5.5573835875,1.5847815,5.688350869,1.5837670434,1.769058812,5.683197309,18.20802558,15.96006496,1.045733167
4.0943445622221,5.7867340319,5.6113196903,1.7761408993,5.7553492584,1.8541590377,2.071204433,5.640932137,19.98525681,24.671366152,0.947845634
4.59511985013459,5.6233325331,5.553605056,1.4235436683,5.659887428,1.4798927036,1.6596964738,5.710720066,19.34932313,22.697377818,0.841390438
5.08759633523238,5.766956728,5.683176452,1.701819411,5.700057102,1.6251282695,1.974350659,5.410726716,21.03902149,13.11355042,0.879975383
4.00733318523247,5.7561400102,5.5882496776,1.7630208494,5.6746530828,1.9601162628,2.0857861774,5.539170316,18.41087678,19.902111712,0.947845634
5.14166355650266,5.6967896922,5.5465335004,1.4600361178,5.724463127,1.4501330024,1.68242154,5.769269632,21.70215154,26.706068348,0.900972261
3.71357206670431,5.7774196672,5.6929669115,1.7406929312,5.7912293938,1.7844493388,2.1017843536,5.727280149,23.87342075,6.4858636272,0.879686198
3.95124371858143,5.654208847,5.4959395871,1.7106585993,5.6913122035,1.7246730395,2.018623194,5.960056663,27.79621782,10.567816634,0.904479165
4.24849524204936,5.7735760562,5.694503253,1.7019292366,5.8129636241,1.6359982144,1.93032304,5.866989635,21.83244851,9.9398301184,0.879975383
5.75890177387728,5.5634525376,5.4440009374,1.580239518,5.506373944,1.6089844845,1.9189901212,5.336256917,28.67959613,14.542808562,0.921833611
3.2188758248682,5.7457313264,5.6473405708,1.7464981076,5.5597125259,1.8960404271,2.132970993,5.489769232,26.35564843,6.906958808,0.904479165
4.18965474202643,5.535666432,5.433867843,1.46793784,5.377085572,1.4790588918,1.655404889,5.455891626,28.22301684,18.53321375,0.921833611
4.04305126783455,5.6321409289,5.5137879328,1.5218947483,5.6219243916,1.572531843,1.686676317,5.484973816,21.07605813,17.870762488,0.987806182
5.52942908751142,5.5233787963,5.4066926166,1.4475093338,5.4907512359,1.4562977704,1.579065933,5.36130438,27.90670576,18.875823938,0.921833611
4.7361984483945,5.5236737549,5.4178992306,1.4739114994,5.4551872608,1.4222898776,1.579022556,5.452457529,27.38362253,19.023322838,0.904783107
4.72738781871234,5.5479737826,5.4255253603,1.4879851511,5.3488366667,1.43503533,1.623716535,5.321118715,25.00812578,19.109218138,0.936481867
5.01727983681492,5.665011872,5.553704714,1.419355187,5.54897387,1.3733590354,1.5961210552,5.589357952,19.37844625,24.72606634,0.900972261
4.58496747867057,5.6654120579,5.5413764446,1.4225808113,5.6132617104,1.3816235128,1.589282609,5.628743352,20.00467101,26.281053882,0.900972261
4.40671924726425,5.5580455196,5.455938224,1.4916228518,5.456485507,1.5767307307,1.7665943424,5.312060356,28.67959613,17.789389034,0.921833611
4.79579054559674,5.666720372,5.5884867236,1.6112080022,5.5606413946,1.631555289,1.8742879798,5.415121361,18.22978633,18.832736176,0.951386028
3.97029191355212,5.6679077379,5.5252149967,1.6394363167,5.6335133055,1.7791056825,1.963375652,5.544042215,18.73763533,26.372104978,0.901782384
4.86753445045558,5.6734102966,5.606655418,1.6668972272,5.6629546447,1.7023784146,2.0665767774,5.681777954,16.03583856,19.837220762,0.951386028
5.03695260241363,5.6334742718,5.5130785831,1.4653194014,5.5856507895,1.5006260865,1.7309978694,5.558804028,19.75597831,26.403035948,0.900972261
4.40671924726425,5.7793443036,5.6982324992,1.6941953874,5.8518227758,1.683338326,1.9261892164,5.845507257,21.38000986,11.08070063,0.879975383
4.49980967033027,5.6235133644,5.5213995498,1.4377235195,5.6248824622,1.4184664492,1.6111879494,5.65588692,19.37844625,25.562944156,0.900972261
3.36729582998647,5.6522801174,5.5178141982,1.8319398494,5.574648935,1.9090959136,2.0874082522,5.575080771,14.25604892,21.10719703,0.901782384
4.20469261939097,5.6477952212,5.5018943126,1.7970386856,5.6365178265,1.8853132281,2.0202299656,5.467511898,15.64318954,26.02106353,0.901782384
4.15888308335967,5.7734811052,5.6727333221,1.7006435873,5.7584263862,1.769471951,1.958593798,5.741232195,17.56382879,15.079689502,0.879975383
4.35670882668959,5.741232195,5.552269672,1.768574461,5.6133023496,1.8855208514,2.010419206,5.532837945,15.08156635,18.34359454,0.901782384
3.93182563272433,5.7871253998,5.7031210233,1.7215907847,5.7704546194,1.7168433302,1.9944659998,5.7385312,24.25993905,7.83412016,0.877586943
