"var1","var2","qv1","qv2","qv12","pv12","interaction","LocationID"
"x1","x6",0.22102881288736,0.0438242120164717,0.374772803269801,7.8361861444165e-10,"Enhance, nonlinear",10
"x1","gc_x1",0.22102881288736,0.036311588134729,0.300706695955613,1.13588448757973e-07,"Enhance, nonlinear",10
"x2","x3",0.295076308325562,0.102841142437219,0.433624160544009,3.38339800620702e-10,"Enhance, nonlinear",10
"x2","x6",0.295076308325562,0.0438242120164717,0.476346246948491,8.92205975766558e-10,"Enhance, nonlinear",10
"x2","gc_x1",0.295076308325562,0.036311588134729,0.377319288712404,9.24064491591992e-10,"Enhance, nonlinear",10
"x3","x6",0.102841142437219,0.0438242120164717,0.245888752854625,4.33453906101278e-08,"Enhance, nonlinear",10
"x3","gc_x1",0.102841142437219,0.036311588134729,0.195595330948667,8.50860236423223e-06,"Enhance, nonlinear",10
"x6","gc_x1",0.0438242120164717,0.036311588134729,0.136046653461872,0.0402581105743404,"Enhance, nonlinear",10
"x1","x2",0.201013410497462,0.165997252331966,0.350556830821912,1.37797573351861e-09,"Enhance, bi-",11
"x1","x3",0.201013410497462,0.0139097267715755,0.244482832610271,0.00651957737855946,"Enhance, nonlinear",11
"x1","x6",0.201013410497462,0.115992630323151,0.329948988677339,6.38685548892681e-10,"Enhance, nonlinear",11
"x1","gc_x1",0.201013410497462,0.0117629759279808,0.228918883932708,3.49914571540211e-07,"Enhance, nonlinear",11
"x2","x3",0.165997252331966,0.0139097267715755,0.189014295588033,2.35497487466318e-06,"Enhance, nonlinear",11
"x2","x6",0.165997252331966,0.115992630323151,0.49246911358183,3.344579058151e-10,"Enhance, nonlinear",11
"x2","gc_x1",0.165997252331966,0.0117629759279808,0.235480979890695,9.94052993639194e-05,"Enhance, nonlinear",11
"x3","x6",0.0139097267715755,0.115992630323151,0.153460131804624,0.000910104816796764,"Enhance, nonlinear",11
"x3","gc_x1",0.0139097267715755,0.0117629759279808,0.0873882541683325,0.0824039762642131,"Enhance, nonlinear",11
"x6","gc_x1",0.115992630323151,0.0117629759279808,0.164844445609007,4.80079252080934e-05,"Enhance, nonlinear",11
"x1","x2",0.234798182742374,0.260474280503025,0.517176556687652,9.90742599071837e-10,"Enhance, nonlinear",12
"x1","x3",0.234798182742374,0.135415708708904,0.417641818139165,5.44387646073119e-10,"Enhance, nonlinear",12
"x1","x6",0.234798182742374,0.0405190826749743,0.403606937543904,8.79174066881205e-10,"Enhance, nonlinear",12
"x1","gc_x1",0.234798182742374,0.0441795290993465,0.321820883779605,3.94325867514311e-08,"Enhance, nonlinear",12
"x2","x3",0.260474280503025,0.135415708708904,0.420953854095763,7.08929359660715e-10,"Enhance, nonlinear",12
"x2","x6",0.260474280503025,0.0405190826749743,0.471541668660435,4.85546713946405e-10,"Enhance, nonlinear",12
"x2","gc_x1",0.260474280503025,0.0441795290993465,0.335355125674162,1.79690661239462e-08,"Enhance, nonlinear",12
"x3","x6",0.135415708708904,0.0405190826749743,0.25425023350424,7.41961283301507e-07,"Enhance, nonlinear",12
"x3","gc_x1",0.135415708708904,0.0441795290993465,0.230621793501687,5.99657616007221e-07,"Enhance, nonlinear",12
"x6","gc_x1",0.0405190826749743,0.0441795290993465,0.161851764309369,0.016030086475442,"Enhance, nonlinear",12
"x1","x2",0.0429289508703138,0.192965378866415,0.451097080683012,5.67097702131036e-10,"Enhance, nonlinear",13
"x1","x3",0.0429289508703138,0.377460480447792,0.485157533764024,4.04859531455415e-08,"Enhance, nonlinear",13
"x1","x6",0.0429289508703138,0.237974541430448,0.370411792104357,0.0066676895561798,"Enhance, nonlinear",13
"x1","gc_x1",0.0429289508703138,0.0204222606191007,0.146280484532209,0.207683824368248,"Enhance, nonlinear",13
"x2","x3",0.192965378866415,0.377460480447792,0.611741718244742,3.68054586807887e-10,"Enhance, nonlinear",13
"x2","x6",0.192965378866415,0.237974541430448,0.529164973502694,4.07145266390074e-07,"Enhance, nonlinear",13
"x2","gc_x1",0.192965378866415,0.0204222606191007,0.406905037877613,1.32340739478209e-08,"Enhance, nonlinear",13
"x3","x6",0.377460480447792,0.237974541430448,0.526010570273302,9.03127374995982e-07,"Enhance, bi-",13
"x3","gc_x1",0.377460480447792,0.0204222606191007,0.425342937042724,9.52790816577398e-06,"Enhance, nonlinear",13
"x6","gc_x1",0.237974541430448,0.0204222606191007,0.349330042269871,1.89911220516148e-06,"Enhance, nonlinear",13
"x1","x2",0.401397597288937,0.141385648769688,0.503580296236542,6.01071525885288e-10,"Enhance, bi-",14
"x1","x3",0.401397597288937,0.134708799733893,0.414458683211691,1.07808084681693e-09,"Enhance, bi-",14
"x1","x6",0.401397597288937,0.206893730658418,0.499446552798639,9.94244131469202e-10,"Enhance, bi-",14
"x1","gc_x1",0.401397597288937,0.0256354530056598,0.422718417993263,4.88371010298749e-10,"Enhance, bi-",14
"x2","x3",0.141385648769688,0.134708799733893,0.308767093689444,1.00492991705892e-09,"Enhance, nonlinear",14
"x2","x6",0.141385648769688,0.206893730658418,0.549864283352332,4.34001612426016e-10,"Enhance, nonlinear",14
"x2","gc_x1",0.141385648769688,0.0256354530056598,0.249459644164425,0.0207978878152015,"Enhance, nonlinear",14
"x3","x6",0.134708799733893,0.206893730658418,0.381199149692313,5.56767631998412e-10,"Enhance, nonlinear",14
"x3","gc_x1",0.134708799733893,0.0256354530056598,0.182199403025311,0.000284997661257225,"Enhance, nonlinear",14
"x6","gc_x1",0.206893730658418,0.0256354530056598,0.343617162629892,5.00888077681338e-08,"Enhance, nonlinear",14
"x1","x2",0.454314497491023,0.0783116722863538,0.532206826994792,9.89339055124105e-10,"Enhance, bi-",15
"x1","x3",0.454314497491023,0.0122911089986654,0.600640878977561,6.17252027268478e-10,"Enhance, nonlinear",15
"x1","x6",0.454314497491023,0.0782849361830309,0.584841031388062,4.18619361397532e-10,"Enhance, nonlinear",15
"x1","gc_x1",0.454314497491023,0.0920643555789602,0.522658482123843,6.55518528347443e-10,"Enhance, bi-",15
"x2","x3",0.0783116722863538,0.0122911089986654,0.188787536011954,0.0368577997972348,"Enhance, nonlinear",15
"x2","x6",0.0783116722863538,0.0782849361830309,0.378417840312698,5.41584022073494e-07,"Enhance, nonlinear",15
"x2","gc_x1",0.0783116722863538,0.0920643555789602,0.225500597179273,0.291736334633404,"Enhance, nonlinear",15
"x3","x6",0.0122911089986654,0.0782849361830309,0.163213799214601,0.00702956483350137,"Enhance, nonlinear",15
"x3","gc_x1",0.0122911089986654,0.0920643555789602,0.189640178302235,0.000180965189240267,"Enhance, nonlinear",15
"x6","gc_x1",0.0782849361830309,0.0920643555789602,0.190687993538369,0.0137144507133804,"Enhance, nonlinear",15
"x1","x2",0.0243057509243932,0.0749862527764661,0.184316928044025,0.999103518645288,"Enhance, nonlinear",16
"x1","x3",0.0243057509243932,0.496573979167233,0.568401112887045,0.00155165833274462,"Enhance, nonlinear",16
"x1","x6",0.0243057509243932,0.215517319535281,0.301964435706016,0.0951462172586225,"Enhance, nonlinear",16
"x1","gc_x1",0.0243057509243932,0.0424465328092479,0.124700515793184,0.99925207573375,"Enhance, nonlinear",16
"x2","x3",0.0749862527764661,0.496573979167233,0.570653696236828,0.000844457501351759,"Enhance, bi-",16
"x2","x6",0.0749862527764661,0.215517319535281,0.418961196944788,0.950459094377964,"Enhance, nonlinear",16
"x2","gc_x1",0.0749862527764661,0.0424465328092479,0.163152784014937,0.999997881629238,"Enhance, nonlinear",16
"x3","x6",0.496573979167233,0.215517319535281,0.554474094523277,0.000130951384590738,"Enhance, bi-",16
"x3","gc_x1",0.496573979167233,0.0424465328092479,0.538101740264313,1.58660162248303e-05,"Enhance, bi-",16
"x6","gc_x1",0.215517319535281,0.0424465328092479,0.317994508932569,0.980519254297016,"Enhance, nonlinear",16
"x1","x2",0.334750586965218,0.596596108281462,0.682639590096482,2.69847588718619e-10,"Enhance, bi-",17
"x1","x3",0.334750586965218,0.317651047976922,0.579734898978228,9.68156887992677e-10,"Enhance, bi-",17
"x1","x6",0.334750586965218,0.300082557899996,0.579583098888383,7.02359947979403e-10,"Enhance, bi-",17
"x1","gc_x1",0.334750586965218,0.356410722774274,0.557991547328093,1.2282705963429e-09,"Enhance, bi-",17
"x2","x3",0.596596108281462,0.317651047976922,0.684053292025311,7.50715045683137e-10,"Enhance, bi-",17
