"element","RF","SRK"
"Co",-1.02344457720963,-1.16240333777541
"Co",2.23174719066271,2.5720705232366
"Co",-1.46511993347676,-2.15193854156917
"Co",-0.928125235184191,-1.4620848821884
"Co",-1.80346493511414,-1.60002748503532
"Co",0.2860660204983,-0.107274159678001
"Co",0.152117404494574,-0.350434425097735
"Co",-0.700888719455184,-0.475898354199749
"Co",0.842692816303077,0.479926416096906
"Co",-7.62837549322791,-2.13749484373883
"Co",-4.7715962324417,-6.30952037088465
"Co",9.97523333333332,9.19063333231334
"Co",-0.927566666666664,-1.5478404418555
"Co",-0.978267120069138,-0.608457896902602
"Co",-2.59523336979973,-3.57429906776438
"Co",-2.47179272957567,-1.90636400529941
"Co",2.23537754159508,1.86998996581858
"Co",-9.83260207473846,-8.21693067872046
"Co",3.84637079496347,2.63641246478167
"Co",-0.401391999891988,1.25650333340933
"Co",3.6152004477558,3.29481574874393
"Co",-1.693659999468,-2.81817999913234
"Co",-1.56184973608787,-1.45818555579499
"Co",-3.08628403923173,-2.217485354819
"Co",-3.16082892112011,-2.03674030129996
"Co",0.347618643301674,0.595982559626533
"Co",-3.59636323955567,-3.13396370704866
"Co",-1.35258249014568,-1.59477543259157
"Co",-3.07297683865313,-3.64235345018795
"Co",0.315958979148968,0.295006427383434
"Co",-3.82923180468584,-5.31092092468535
"Co",-1.01450666605466,-3.9298294039792
"Co",2.33415466784568,1.87398628554947
"Co",-15.8840621759616,-12.6530054140435
"Co",-10.1195658124261,-6.44488440858119
"Co",-2.58306733482799,-2.08767902532144
"Co",-0.382031157613731,-0.952315796031632
"Co",-2.38051399239286,-2.77960691200221
"Co",-0.239724320797935,-0.416536748660297
"Co",-1.31960316574516,-1.23939894429123
"Co",-1.24985091218586,-1.76577928472453
"Co",3.8609876925178,4.76346799909054
"Co",-2.62436015388492,-2.70018157640533
"Co",1.29048470844684,0.341722328967636
"Co",0.8590289496174,0.719761426407199
"Co",-1.15609263356854,-1.26589592336956
"Co",1.08482241067933,1.01202787674997
"Co",1.9034282744395,1.948725311055
"Co",0.365906692439038,1.73123502532386
"Co",-0.310539959917857,-0.173153764878833
"Co",-0.163719224995904,-0.260797970669632
"Co",-1.7883474100074,-1.6520037367502
"Co",-5.59552817787467,-4.21866901773733
"Co",-1.67655553805533,-1.33534686320099
"Co",-2.16904762735183,-0.880563788259671
"Co",-1.3456798958036,-2.0918798048401
"Co",-3.83162604072543,-4.69782019130571
"Co",-1.81761662779452,-3.44029880359323
"Co",-0.533753050330411,-1.55263824754573
"Co",1.19288803377616,0.944284000196605
"Co",-1.97371772588787,-1.88773751165463
"Co",-0.621295245046131,-1.352447507922
"Co",-1.07356504346756,-1.73297342748305
"Co",-1.88311646536498,-1.6876939558117
"Co",-1.18341718911628,-1.44893364166728
"Co",-0.919222942982213,-1.28565711014341
"Co",0.125167496854163,0.379707863823826
"Co",1.59598533354587,0.914113293722325
"Co",0.159571721493262,0.0262019000056677
"Co",-0.386072766896739,-1.3051804355868
"Co",-2.9447346899449,-2.91130588020357
"Co",-0.458287667396906,-1.74232978212874
"Co",1.45799879070304,2.02509535977179
"Co",-1.81394931555925,-1.70555034851053
"Co",3.63337052942452,1.88544063045622
"Co",2.81700095742612,2.56008863983239
"Co",6.0156522913811,4.92347982766282
"Co",0.697246372277991,0.835474106448657
"Co",1.65876550804715,1.27553108891447
