"coef_GC_Income","coef_GC_Indemp","model"
-0.0389290678449639,-0.111462635610698,"MLR"
-0.0392595807972727,-0.107861247052957,"MLR"
-0.0396208138686095,-0.090011565799846,"MLR"
-0.0395242109245761,-0.0945017276541741,"MLR"
-0.0394426363736164,-0.0991304360668077,"MLR"
-0.0394381962434713,-0.0976928082671594,"MLR"
-0.0400239514176169,-0.0668748677376319,"MLR"
-0.0263848637866547,-0.0448031120970716,"SVR"
-0.0291652313026314,-0.00939370849998213,"SVR"
-0.0264281163057308,-0.0157688027312339,"SVR"
-0.0239228120732269,-0.0745872222572422,"SVR"
-0.0272120386521429,-0.0281218556782135,"SVR"
-0.00125151207411427,0.0493194409028873,"SVR"
8.2518985679498e-05,0.0582727416934702,"SVR"
-0.0180151342840357,-0.045437726832616,"SVR"
-0.0251867341388241,-0.0111630284777963,"SVR"
-0.0131409287290048,-0.0173903665897968,"SVR"
-0.0213897870371992,-0.04541744447897,"SVR"
-0.013647776778085,-0.00189428347364976,"SVR"
-0.0116274995946705,-0.00304618023339776,"SVR"
-0.0211732806962617,-0.00777606649004287,"SVR"
-0.0217354090110658,-0.00462320679372972,"SVR"
-0.018547635140982,-0.0257793526741247,"SVR"
-0.00253480951721977,0.0442068436653758,"SVR"
-0.00285939730806582,0.0413552870751198,"SVR"
-0.00372415609856038,0.0355731105701968,"SVR"
-0.00791784076974826,0.0124282321947216,"SVR"
-0.0122785592615961,-0.0219657491699653,"SVR"
-0.0139635832277904,-0.0318621357914273,"SVR"
-0.00821481017359406,0.00236514806031554,"SVR"
-0.00618647401673891,0.0211349689970355,"SVR"
-0.0128155266284133,-0.0132103533164222,"SVR"
-0.0113251069258941,-0.00664391135866457,"SVR"
-0.00842442160644222,0.00889496285767603,"SVR"
-0.0394760853952828,-0.0066904856691113,"SVR"
-0.0300746774831361,-0.00293418605083197,"SVR"
-0.0539020781652907,-0.00406769512790975,"SVR"
-0.0133165206868629,-0.0163573312238387,"SVR"
-0.0134736993781126,-0.0137377633003175,"SVR"
-0.0169729535739257,-0.0217968196932285,"SVR"
-0.0137000457686975,-0.0197937101741376,"SVR"
-0.000982160760646042,0.0523154329116103,"SVR"
8.72699326596686e-05,0.0590282551917504,"SVR"
-0.00208022916131298,0.0456522357748572,"SVR"
-0.030137517362255,-0.0338411851523523,"SVR"
-0.0324837559117576,-0.0398057381731243,"SVR"
-0.042810213343282,-0.057273406373354,"SVR"
-0.0310601062092514,-0.00567969220189614,"SVR"
-0.0300601146363465,-0.00888601571276367,"SVR"
-0.0295965662315531,-0.00777731807993584,"SVR"
-0.0201986397523318,-0.0660966592840687,"SVR"
-0.0155791146655084,-0.0396522527802949,"SVR"
-0.000109999625487296,0.0545483735707309,"SVR"
0.000540319169326101,0.0596148569771446,"SVR"
-0.000400771730156631,0.0553245344982297,"SVR"
0.00037666348441523,0.0581934461657992,"SVR"
-0.002123871556856,0.0418898814296706,"SVR"
-0.00157449704954252,0.0457032438819647,"SVR"
-0.00293211998407579,0.0369311840002735,"SVR"
-0.00241729127729589,0.0391083641180701,"SVR"
-0.0019771063750682,0.0419976887525938,"SVR"
-0.00135104071246133,0.0460113537114414,"SVR"
-0.000934289103561495,0.0486823070567514,"SVR"
-0.00221660756862382,0.0403610567907956,"SVR"
-0.00354540673463759,0.0322228467638155,"SVR"
-0.00283972117739767,0.0365630469325353,"SVR"
-0.00377164328463814,0.0305891100999846,"SVR"
-0.0032073666524359,0.0341238454994357,"SVR"
-0.0011001634519158,0.0477400712397887,"SVR"
-0.00120351945528107,0.04700557454292,"SVR"
-0.00187070488647071,0.0427700306380891,"SVR"
0.00023358989430833,0.056365731697174,"SVR"
0.000474354364553987,0.0588357653538841,"SVR"
0.00142840144542805,0.0642347781713519,"SVR"
-6.87352065221184e-05,0.0543601292580046,"SVR"
0.000680765606389085,0.0592764812866848,"SVR"
0.00173361627170277,0.066715110514601,"SVR"
0.000659095503456657,0.0595736853716362,"SVR"
-0.00839163395958923,0.0026827315002302,"SVR"
-0.00635722105124062,0.0143711983059356,"SVR"
-0.0115488539519793,-0.0157343769919776,"SVR"
-0.00637476560123647,0.0178370980894741,"SVR"
-0.00523850012662645,0.0229448841942566,"SVR"
-0.00222325605938223,0.0422790590813508,"SVR"
-0.00416926648546606,0.0293988061432185,"SVR"
