"Lon","Lat","Elevation"
118.5805218,-25.30841537,500.6468388
118.5850263,-25.30841537,497.6589612
118.5895308,-25.30841537,496.5959958
118.5940353,-25.30841537,496.7474298
118.5985398,-25.30841537,496.6558424
118.6030443,-25.30841537,497.0574998
118.6075488,-25.30841537,496.9555444
118.6120533,-25.30841537,497.2886594
118.6165578,-25.30841537,497.2385856
118.6210623,-25.30841537,497.5213412
118.6255668,-25.30841537,498.4708221
118.6300713,-25.30841537,498.0655951
118.6345758,-25.30841537,497.0466953
118.6390803,-25.30841537,496.647015
118.6435848,-25.30841537,497.7021164
118.6480894,-25.30841537,498.5289997
118.6525939,-25.30841537,499.2235944
118.6570984,-25.30841537,499.5041339
118.6616029,-25.30841537,501.4098066
118.6661074,-25.30841537,503.6129009
118.6706119,-25.30841537,505.0971358
118.6751164,-25.30841537,505.0725939
118.6796209,-25.30841537,505.3999542
118.6841254,-25.30841537,506.9353938
118.6886299,-25.30841537,509.916816
118.6931344,-25.30841537,511.0187432
118.6976389,-25.30841537,511.7564922
118.7021434,-25.30841537,517.0421164
118.7066479,-25.30841537,518.1330622
118.7111524,-25.30841537,517.7384976
118.7156569,-25.30841537,515.538915
118.7201614,-25.30841537,510.2396808
118.7246659,-25.30841537,508.2023574
118.7291704,-25.30841537,506.7008309
118.7336749,-25.30841537,506.4577323
118.7381794,-25.30841537,505.0136217
118.7426839,-25.30841537,503.3972772
118.7471885,-25.30841537,501.1355509
118.751693,-25.30841537,499.8960826
118.7561975,-25.30841537,498.4592516
118.760702,-25.30841537,498.4430519
118.7652065,-25.30841537,498.736125
118.769711,-25.30841537,498.4955621
118.7742155,-25.30841537,498.3713305
118.77872,-25.30841537,498.7758275
118.7832245,-25.30841537,500.9982958
118.787729,-25.30841537,502.5101232
118.7922335,-25.30841537,500.3866011
118.796738,-25.30841537,501.8875535
118.8012425,-25.30841537,504.3967374
118.805747,-25.30841537,508.4485033
118.8102515,-25.30841537,514.8459668
118.814756,-25.30841537,517.2906046
118.8192605,-25.30841537,519.642627
118.823765,-25.30841537,513.3071789
118.8282695,-25.30841537,505.6917902
118.832774,-25.30841537,505.8895134
118.8372785,-25.30841537,506.2619407
118.841783,-25.30841537,506.2119633
118.8462876,-25.30841537,505.6979611
118.8507921,-25.30841537,505.706796
118.8552966,-25.30841537,505.4820653
118.8598011,-25.30841537,505.7432352
118.8643056,-25.30841537,506.0122874
118.8688101,-25.30841537,505.9382154
118.8733146,-25.30841537,506.3559838
118.8778191,-25.30841537,507.1829775
118.8823236,-25.30841537,507.5375659
118.8868281,-25.30841537,508.3065588
118.8913326,-25.30841537,508.7314258
118.8958371,-25.30841537,509.2034299
118.9003416,-25.30841537,509.3710543
